Schedule,Test_Type,Grid_N,Threads,Iters,Avg_Time_s,Speedup,Efficiency_pct
static,Strong,1024,1,5000,2.4422,1.0,N/A
static,Strong,1024,2,5000,1.2836,1.9,N/A
static,Strong,1024,4,5000,0.7432,3.29,N/A
static,Strong,1024,8,5000,0.471,5.19,N/A
static,Weak,256,1,5000,0.1542,N/A,100.0
static,Weak,362,2,5000,0.1571,N/A,98.17
static,Weak,512,4,5000,0.1649,N/A,93.56
static,Weak,724,8,5000,0.1836,N/A,84.0
dynamic,Strong,1024,1,5000,2.4303,1.0,N/A
dynamic,Strong,1024,2,5000,1.3252,1.83,N/A
dynamic,Strong,1024,4,5000,0.7302,3.33,N/A
dynamic,Strong,1024,8,5000,0.4892,4.97,N/A
dynamic,Weak,256,1,5000,0.1549,N/A,100.0
dynamic,Weak,362,2,5000,0.1671,N/A,92.67
dynamic,Weak,512,4,5000,0.1699,N/A,91.14
dynamic,Weak,724,8,5000,0.2569,N/A,60.28
guided,Strong,1024,1,5000,2.4088,1.0,N/A
guided,Strong,1024,2,5000,1.2625,1.91,N/A
guided,Strong,1024,4,5000,0.7435,3.24,N/A
guided,Strong,1024,8,5000,0.5048,4.77,N/A
guided,Weak,256,1,5000,0.1565,N/A,100.0
guided,Weak,362,2,5000,0.1673,N/A,93.58
guided,Weak,512,4,5000,0.1723,N/A,90.84
guided,Weak,724,8,5000,0.2563,N/A,61.07
