Schedule,Test_Type,Grid_N,Threads,Iters,Time_s,Speedup,Efficiency_pct
static,Strong,1024,1,5000,4.4261,1.0,N/A
static,Strong,1024,2,5000,2.1744,2.04,N/A
static,Strong,1024,4,5000,1.1928,3.71,N/A
static,Strong,1024,8,5000,0.5718,7.74,N/A
static,Weak,256,1,5000,0.2819,N/A,100.0
static,Weak,362,2,5000,0.2709,N/A,104.07
static,Weak,512,4,5000,0.3013,N/A,93.57
static,Weak,724,8,5000,0.2869,N/A,98.28
dynamic,Strong,1024,1,5000,4.3304,1.0,N/A
dynamic,Strong,1024,2,5000,2.188,1.98,N/A
dynamic,Strong,1024,4,5000,1.1237,3.85,N/A
dynamic,Strong,1024,8,5000,0.5856,7.39,N/A
dynamic,Weak,256,1,5000,0.2669,N/A,100.0
dynamic,Weak,362,2,5000,0.2905,N/A,91.87
dynamic,Weak,512,4,5000,0.2875,N/A,92.83
dynamic,Weak,724,8,5000,0.3089,N/A,86.41
guided,Strong,1024,1,5000,4.3518,1.0,N/A
guided,Strong,1024,2,5000,2.2015,1.98,N/A
guided,Strong,1024,4,5000,1.1043,3.94,N/A
guided,Strong,1024,8,5000,0.6912,6.3,N/A
guided,Weak,256,1,5000,0.2625,N/A,100.0
guided,Weak,362,2,5000,0.2855,N/A,91.95
guided,Weak,512,4,5000,0.2918,N/A,89.97
guided,Weak,724,8,5000,0.369,N/A,71.13
