Schedule,Test_Type,Grid_N,Threads,Iters,Avg_Time_s,Speedup,Efficiency_pct
static,Strong,1024,1,5000,2.3977,1.0,N/A
static,Strong,1024,2,5000,1.2758,1.88,N/A
static,Strong,1024,4,5000,0.7424,3.23,N/A
static,Strong,1024,8,5000,0.4694,5.11,N/A
static,Weak,256,1,5000,0.1559,N/A,100.0
static,Weak,362,2,5000,0.1577,N/A,98.89
static,Weak,512,4,5000,0.1649,N/A,94.54
static,Weak,724,8,5000,0.1878,N/A,83.01
dynamic,Strong,1024,1,5000,2.4286,1.0,N/A
dynamic,Strong,1024,2,5000,1.2909,1.88,N/A
dynamic,Strong,1024,4,5000,0.7358,3.3,N/A
dynamic,Strong,1024,8,5000,0.4934,4.92,N/A
dynamic,Weak,256,1,5000,0.1528,N/A,100.0
dynamic,Weak,362,2,5000,0.1672,N/A,91.37
dynamic,Weak,512,4,5000,0.1826,N/A,83.7
dynamic,Weak,724,8,5000,0.2554,N/A,59.83
guided,Strong,1024,1,5000,2.4327,1.0,N/A
guided,Strong,1024,2,5000,1.3018,1.87,N/A
guided,Strong,1024,4,5000,0.7344,3.31,N/A
guided,Strong,1024,8,5000,0.4977,4.89,N/A
guided,Weak,256,1,5000,0.1531,N/A,100.0
guided,Weak,362,2,5000,0.1686,N/A,90.77
guided,Weak,512,4,5000,0.1802,N/A,84.96
guided,Weak,724,8,5000,0.2453,N/A,62.41
